anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,competencia,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud
2016,Enero,2016-01-01,00:00:00,2015.0,Diciembre,2015-12-31,16:30:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-2CD,JARDINES EN LA MONTAÑA,Jardines En La Montaña,TLALPAN,,CDMX,19.30086,-99.20877
2016,Enero,2016-01-11,00:00:00,2016.0,Enero,2016-01-11,06:00:00,HOMICIDIO CULPOSO FUERA DEL D.F (ATROPELLADO),DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN IZTAPALAPA,IZP-6,UI-3SD,LA VALENCIANA,Juan Escutia,IZTAPALAPA,,CDMX,19.39344,-99.04351
2016,Enero,2016-01-25,00:00:00,2016.0,Enero,2016-01-20,07:30:00,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-3,UI-3SD,NUEVA VALLEJO,Lindavista Vallejo 3a Seccion,GUSTAVO A. MADERO,,CDMX,19.49391,-99.14846
2016,Enero,2016-01-25,00:00:00,2016.0,Enero,2016-01-24,10:00:00,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN MAGDALENA CONTRERAS,MC-2,UI-3CD,EDUCACIÓN,Educacion,COYOACAN,,CDMX,19.33553,-99.13397
2016,Febrero,2016-02-20,00:00:00,2016.0,Febrero,2016-02-19,17:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,,INVESTIGACIÓN EN IZTAPALAPA,IZP-3,UI-2CD,CENTRAL DE ABASTO,Central De Abasto,IZTAPALAPA,,CDMX,19.38377,-99.09274
2016,Febrero,2016-02-20,00:00:00,2016.0,Febrero,2016-02-20,06:30:00,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-2SD,ANZURES,Anzures,MIGUEL HIDALGO,,CDMX,19.43645,-99.18127
2017,Enero,2017-01-01,00:00:00,2017.0,Enero,2017-01-01,16:25:00,PERDIDA DE LA VIDA POR OTRAS CAUSAS,HECHO NO DELICTIVO,,INVESTIGACIÓN EN COYOACÁN,COY-1,UI-3CD,INSURGENTES CUICUILCO,Insurgentes Cuicuilco,COYOACAN,,CDMX,19.30503,-99.18618
2017,Enero,2017-01-01,00:00:00,2017.0,Enero,2017-01-01,17:26:00,ROBO A PASAJERO EN AUTOBUS FORANEO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-3,UI-3SD,CAPULTITLAN,Capultitlan,GUSTAVO A. MADERO,,CDMX,19.47898,-99.13145
2017,Enero,2017-01-01,00:00:00,2016.0,Enero,2016-01-01,21:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-2,UI-3CD,EX EJIDO SAN JUAN DE ARAGÓN SECTOR 32,Ex Ejido San Juan De Aragon Sector 32,GUSTAVO A. MADERO,,CDMX,19.46675,-99.07609
2017,Enero,2017-01-01,00:00:00,2017.0,Enero,2017-01-01,21:20:00,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN COYOACÁN,COY-2,UI-3CD,BARRIO DEL NIÑO JESÚS,Barrio Del Niño Jesus,COYOACAN,,CDMX,19.34339,-99.15798
